Lexeme           | Token Name
wala            | R_WALA               | 1 
ugat            | R_UGAT               | 1 
(               | D_LPAREN             | 1 
)               | D_RPAREN             | 1 
{               | D_LBRACE             | 1 
bilang          | R_BILANG             | 2 
x               | L_IDENTIFIER         | 2 
=               | O_ASSIGN             | 2 
10              | L_BILANG_LITERAL     | 2 
;               | D_SEMICOLON          | 2 
bilang          | R_BILANG             | 3 
y               | L_IDENTIFIER         | 3 
=               | O_ASSIGN             | 3 
20              | L_BILANG_LITERAL     | 3 
,               | D_COMMA              | 3 
z               | L_IDENTIFIER         | 3 
;               | D_SEMICOLON          | 3 
lutang          | R_LUTANG             | 4 
pi              | R_PI                 | 4 
=               | O_ASSIGN             | 4 
3.14            | L_LUTANG_LITERAL     | 4 
;               | D_SEMICOLON          | 4 
kwerdas         | R_KWERDAS            | 5 
msg             | L_IDENTIFIER         | 5 
=               | O_ASSIGN             | 5 
"Hello USBong"  | L_KWERDAS_LITERAL    | 5 
;               | D_SEMICOLON          | 5 
bulyan          | R_BULYAN             | 6 
flag            | L_IDENTIFIER         | 6 
=               | O_ASSIGN             | 6 
tama            | R_TAMA               | 6 
;               | D_SEMICOLON          | 6 
z               | L_IDENTIFIER         | 8 
=               | O_ASSIGN             | 8 
x               | L_IDENTIFIER         | 8 
+               | O_PLUS               | 8 
y               | L_IDENTIFIER         | 8 
*               | O_MULTIPLY           | 8 
2               | L_BILANG_LITERAL     | 8 
;               | D_SEMICOLON          | 8 
x               | L_IDENTIFIER         | 9 
=               | O_ASSIGN             | 9 
(               | D_LPAREN             | 9 
z               | L_IDENTIFIER         | 9 
-               | O_MINUS              | 9 
5               | L_BILANG_LITERAL     | 9 
)               | D_RPAREN             | 9 
/               | O_DIVIDE             | 9 
3               | L_BILANG_LITERAL     | 9 
;               | D_SEMICOLON          | 9 
kung            | K_KUNG               | 11 
(               | D_LPAREN             | 11 
x               | L_IDENTIFIER         | 11 
>               | O_GREATER            | 11 
5               | L_BILANG_LITERAL     | 11 
)               | D_RPAREN             | 11 
{               | D_LBRACE             | 11 
ani             | K_ANI                | 12 
(               | D_LPAREN             | 12 
x               | L_IDENTIFIER         | 12 
)               | D_RPAREN             | 12 
;               | D_SEMICOLON          | 12 
y               | L_IDENTIFIER         | 13 
=               | O_ASSIGN             | 13 
y               | L_IDENTIFIER         | 13 
+               | O_PLUS               | 13 
1               | L_BILANG_LITERAL     | 13 
;               | D_SEMICOLON          | 13 
}               | D_RBRACE             | 14 
kundi           | K_KUNDI              | 14 
{               | D_LBRACE             | 14 
ani             | K_ANI                | 15 
(               | D_LPAREN             | 15 
y               | L_IDENTIFIER         | 15 
)               | D_RPAREN             | 15 
;               | D_SEMICOLON          | 15 
y               | L_IDENTIFIER         | 16 
=               | O_ASSIGN             | 16 
y               | L_IDENTIFIER         | 16 
-               | O_MINUS              | 16 
1               | L_BILANG_LITERAL     | 16 
;               | D_SEMICOLON          | 16 
}               | D_RBRACE             | 17 
kung            | K_KUNG               | 19 
(               | D_LPAREN             | 19 
y               | L_IDENTIFIER         | 19 
==              | O_EQUAL              | 19 
20              | L_BILANG_LITERAL     | 19 
)               | D_RPAREN             | 19 
{               | D_LBRACE             | 19 
z               | L_IDENTIFIER         | 20 
=               | O_ASSIGN             | 20 
100             | L_BILANG_LITERAL     | 20 
;               | D_SEMICOLON          | 20 
}               | D_RBRACE             | 21 
kundiman        | K_KUNDIMAN           | 21 
(               | D_LPAREN             | 21 
y               | L_IDENTIFIER         | 21 
>               | O_GREATER            | 21 
15              | L_BILANG_LITERAL     | 21 
)               | D_RPAREN             | 21 
{               | D_LBRACE             | 21 
z               | L_IDENTIFIER         | 22 
=               | O_ASSIGN             | 22 
50              | L_BILANG_LITERAL     | 22 
;               | D_SEMICOLON          | 22 
}               | D_RBRACE             | 23 
kundi           | K_KUNDI              | 23 
{               | D_LBRACE             | 23 
z               | L_IDENTIFIER         | 24 
=               | O_ASSIGN             | 24 
0               | L_BILANG_LITERAL     | 24 
;               | D_SEMICOLON          | 24 
}               | D_RBRACE             | 25 
bilang          | R_BILANG             | 27 
i               | L_IDENTIFIER         | 27 
=               | O_ASSIGN             | 27 
0               | L_BILANG_LITERAL     | 27 
;               | D_SEMICOLON          | 27 
para            | K_PARA               | 28 
(               | D_LPAREN             | 28 
bilang          | R_BILANG             | 28 
counter         | L_IDENTIFIER         | 28 
=               | O_ASSIGN             | 28 
0               | L_BILANG_LITERAL     | 28 
;               | D_SEMICOLON          | 28 
counter         | L_IDENTIFIER         | 28 
<               | O_LESS               | 28 
10              | L_BILANG_LITERAL     | 28 
;               | D_SEMICOLON          | 28 
counter         | L_IDENTIFIER         | 28 
=               | O_ASSIGN             | 28 
counter         | L_IDENTIFIER         | 28 
+               | O_PLUS               | 28 
1               | L_BILANG_LITERAL     | 28 
)               | D_RPAREN             | 28 
{               | D_LBRACE             | 28 
i               | L_IDENTIFIER         | 29 
=               | O_ASSIGN             | 29 
i               | L_IDENTIFIER         | 29 
+               | O_PLUS               | 29 
counter         | L_IDENTIFIER         | 29 
;               | D_SEMICOLON          | 29 
ani             | K_ANI                | 30 
(               | D_LPAREN             | 30 
i               | L_IDENTIFIER         | 30 
)               | D_RPAREN             | 30 
;               | D_SEMICOLON          | 30 
}               | D_RBRACE             | 31 
habang          | K_HABANG             | 33 
(               | D_LPAREN             | 33 
x               | L_IDENTIFIER         | 33 
<               | O_LESS               | 33 
100             | L_BILANG_LITERAL     | 33 
)               | D_RPAREN             | 33 
{               | D_LBRACE             | 33 
x               | L_IDENTIFIER         | 34 
=               | O_ASSIGN             | 34 
x               | L_IDENTIFIER         | 34 
+               | O_PLUS               | 34 
10              | L_BILANG_LITERAL     | 34 
;               | D_SEMICOLON          | 34 
ani             | K_ANI                | 35 
(               | D_LPAREN             | 35 
x               | L_IDENTIFIER         | 35 
)               | D_RPAREN             | 35 
;               | D_SEMICOLON          | 35 
}               | D_RBRACE             | 36 
gawin           | K_GAWIN              | 38 
